Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,169.85,203.20,8.23,23.47,5.64,32.35,1.43,0.63,6.32,2.62,18.74,2.09,NA,3.47,5.56,4.68,99.13,0.59,56.68,NA,0.00,NA,NA,NA
2022-01-01 01:00:00,169.20,203.20,8.23,23.47,5.64,32.34,1.23,0.63,5.92,2.58,18.08,1.82,NA,3.11,4.97,4.03,99.13,0.63,53.54,NA,0.00,NA,NA,NA
2022-01-01 02:00:00,163.22,203.20,8.23,23.47,5.64,32.34,1.06,0.64,5.61,2.54,17.40,1.60,NA,2.85,4.49,3.62,99.13,0.68,80.95,NA,0.00,NA,NA,NA
2022-01-01 03:00:00,166.68,203.20,8.23,23.47,5.64,32.35,1.14,0.63,6.06,2.49,16.69,1.39,NA,2.58,4.05,3.30,99.13,0.67,43.24,NA,0.00,NA,NA,NA
2022-01-01 04:00:00,153.70,203.20,8.23,23.47,5.64,32.35,0.85,0.62,6.08,2.31,15.91,1.20,NA,2.36,3.67,3.05,99.13,0.66,83.82,NA,0.00,NA,NA,NA
2022-01-01 05:00:00,160.55,203.20,8.23,23.47,5.64,32.35,0.77,0.63,6.36,2.29,15.26,1.07,NA,2.22,3.42,3.41,99.13,0.61,106.96,NA,0.00,NA,NA,NA
2022-01-01 06:00:00,159.45,196.47,8.23,23.50,5.95,32.34,0.77,0.66,6.46,2.36,14.74,0.96,NA,2.14,3.20,3.13,99.13,0.55,70.15,NA,0.00,NA,NA,NA
2022-01-01 07:00:00,156.38,173.08,8.32,23.81,6.78,32.39,0.79,0.74,6.52,2.51,14.48,0.92,NA,2.16,3.12,3.32,99.13,0.51,206.44,NA,0.00,NA,NA,NA
2022-01-01 08:00:00,156.60,173.10,8.43,23.76,7.00,32.30,1.79,0.76,8.12,2.94,14.70,1.00,NA,2.29,3.26,6.06,99.13,0.61,141.28,NA,0.00,NA,NA,NA
2022-01-01 09:00:00,NA,NA,8.32,23.75,6.84,32.39,2.10,0.75,8.65,3.23,15.00,1.05,NA,2.40,3.39,10.43,85.78,0.81,223.05,NA,0.00,NA,NA,NA
2022-01-01 10:00:00,NA,NA,8.39,23.76,6.90,32.33,2.35,0.76,8.84,3.32,15.54,1.12,NA,2.42,3.53,14.03,69.03,0.85,251.87,NA,0.00,NA,NA,NA
