Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,117.08,194.88,17.92,28.92,29.56,130.6,6.0,0.89,19.01,6.72,12.94,,,2.17,4.55,10.78,99.13,0.5,132.21,,0.0,7.0,,
2024-01-01 01:00:00,116.88,190.42,19.9,28.19,30.79,147.3,6.16,0.88,38.97,7.12,12.87,,,2.08,4.5,10.6,99.13,0.64,130.43,,0.0,7.0,,
2024-01-01 02:00:00,116.82,182.08,20.36,28.37,31.25,154.62,6.18,0.85,19.32,6.71,12.79,,,1.98,4.34,10.54,99.13,0.65,68.95,,0.0,7.05,,
2024-01-01 03:00:00,113.4,177.77,25.01,29.38,35.52,162.22,6.2,0.86,19.33,6.64,12.73,,,1.9,4.26,10.6,99.13,0.68,113.95,,0.0,7.12,,
2024-01-01 04:00:00,113.0,180.58,23.48,29.62,34.42,156.15,5.5,0.9,19.25,6.6,12.83,,,1.87,4.19,10.66,99.13,0.48,147.6,,0.0,7.05,,
2024-01-01 05:00:00,111.9,173.15,23.23,30.26,34.54,146.3,5.38,0.92,19.36,6.44,12.95,,,1.88,4.28,10.74,99.13,0.69,237.63,,0.0,7.22,,
2024-01-01 06:00:00,113.25,178.7,22.69,30.72,34.35,142.71,5.41,0.94,19.3,6.39,13.05,,,1.95,4.38,10.74,99.13,0.32,336.17,,0.0,7.15,,
2024-01-01 07:00:00,114.2,179.2,21.58,30.09,33.13,139.05,5.42,0.95,19.27,6.52,13.2,,,1.99,4.48,10.81,99.13,0.42,174.56,,0.0,11.5,,
2024-01-01 08:00:00,113.98,178.88,21.02,29.78,32.52,130.75,5.68,0.94,19.3,6.64,13.34,,,2.01,4.54,10.83,99.13,0.42,305.84,,0.0,27.1,,
2024-01-01 09:00:00,116.1,182.02,20.07,29.33,31.52,145.74,5.72,0.93,19.35,6.68,13.36,,,2.0,4.53,11.23,99.13,0.61,166.6,,0.0,58.48,,
