Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,483.00,606.00,35.38,14.05,36.38,45.00,12.58,3.22,2.85,NA,NA,NA,NA,NA,NA,6.62,99.30,1.38,12.82,0.00,0.00,4.80,997.48,NA
2020-01-01 01:00:00,456.75,574.50,21.33,15.10,25.38,47.20,11.32,2.28,2.10,12.35,24.92,NA,NA,NA,NA,6.28,99.00,1.30,19.98,0.00,0.00,4.82,997.30,NA
2020-01-01 02:00:00,367.75,465.75,18.10,10.65,20.45,40.95,9.95,2.10,1.88,9.85,18.77,NA,NA,NA,NA,5.45,98.45,1.58,29.65,0.00,0.00,4.88,997.18,NA
2020-01-01 03:00:00,338.50,425.25,20.25,7.90,20.70,37.60,9.25,2.22,3.00,9.67,19.80,NA,NA,NA,NA,4.32,99.20,1.60,17.62,0.00,0.00,4.88,997.22,NA
2020-01-01 04:00:00,342.75,432.00,24.00,5.52,22.52,38.95,8.18,2.30,5.65,10.02,23.12,NA,NA,NA,NA,4.00,99.30,1.60,17.73,0.00,0.00,4.88,997.25,NA
2020-01-01 05:00:00,348.25,442.25,38.35,4.40,33.60,37.42,9.75,2.62,72.60,10.45,30.90,NA,NA,NA,NA,3.90,99.30,1.60,17.70,0.00,0.00,4.88,997.58,NA
2020-01-01 06:00:00,383.50,501.50,52.95,4.05,45.35,39.95,10.92,3.00,58.80,11.95,43.58,NA,NA,NA,NA,3.95,99.30,1.60,17.70,0.00,0.00,5.15,998.20,NA
2020-01-01 07:00:00,431.50,600.50,53.12,6.35,46.70,40.17,11.48,3.08,17.62,12.72,46.80,NA,NA,NA,NA,4.78,99.30,1.60,18.65,0.00,0.00,29.62,999.08,NA
2020-01-01 08:00:00,453.75,656.00,44.62,25.00,49.68,42.22,15.97,3.22,6.12,13.55,37.12,NA,NA,NA,NA,7.98,94.92,1.42,46.32,0.00,0.00,92.32,999.80,NA
2020-01-01 09:00:00,494.75,667.00,14.65,27.78,26.68,39.95,15.20,2.25,5.62,10.10,26.12,NA,NA,NA,NA,12.20,62.18,0.95,57.02,0.00,0.00,230.10,NA,NA
2020-01-01 10:00:00,365.00,545.50,11.10,21.22,20.32,36.62,47.40,1.88,12.65,7.92,22.60,NA,NA,NA,NA,15.40,49.18,0.98,70.10,0.00,0.00,320.50,NA,NA
2020-01-01 11:00:00,302.25,451.00,8.20,15.00,14.65,37.30,43.68,1.30,58.22,6.08,34.60,NA,NA,NA,NA,17.18,47.42,0.90,77.85,0.00,0.00,387.72,NA,NA
2020-01-01 12:00:00,205.50,326.25,5.90,10.10,10.18,41.58,32.35,1.02,73.40,4.60,20.33,NA,NA,NA,NA,18.30,45.78,0.82,79.98,0.00,0.00,401.80,999.80,NA
2020-01-01 13:00:00,148.25,258.75,5.20,10.80,10.00,43.38,37.05,0.85,62.38,3.65,17.58,NA,NA,NA,NA,18.92,44.82,0.82,101.43,0.00,0.00,326.42,999.35,NA
2020-01-01 14:00:00,125.00,205.75,5.65,15.02,12.58,45.60,66.03,0.90,57.60,3.12,12.75,NA,NA,NA,NA,19.12,45.90,0.82,102.20,0.00,0.00,261.00,998.88,NA
2020-01-01 15:00:00,124.00,207.50,5.10,14.55,11.90,46.40,41.03,0.90,45.35,3.10,12.15,NA,NA,NA,NA,19.05,46.60,0.95,68.42,0.00,0.00,159.65,998.68,NA
2020-01-01 16:00:00,121.00,224.50,5.32,19.15,14.55,42.40,20.85,1.20,25.72,3.65,20.75,NA,NA,NA,NA,17.88,48.72,1.23,102.88,0.00,0.00,65.15,998.70,NA
2020-01-01 17:00:00,123.75,229.75,7.18,22.38,17.75,42.58,9.95,1.55,6.18,3.70,24.12,NA,NA,NA,NA,13.65,67.45,1.60,120.32,0.00,0.00,8.82,998.82,NA
2020-01-01 18:00:00,159.75,284.50,43.72,23.25,48.05,46.50,8.80,4.40,7.65,6.98,36.88,NA,NA,NA,NA,10.60,85.40,1.60,120.30,0.00,0.00,5.03,999.20,NA
2020-01-01 19:00:00,293.25,516.50,136.80,21.70,123.05,48.32,13.90,4.28,10.05,13.70,66.00,NA,NA,NA,NA,9.57,94.65,1.60,120.22,0.00,0.00,5.03,999.55,NA
2020-01-01 20:00:00,494.00,821.00,198.25,17.48,170.95,55.55,18.38,0.01,8.77,NA,NA,NA,NA,NA,NA,9.25,97.80,1.60,120.20,0.00,0.00,4.95,999.92,NA
2020-01-01 21:00:00,700.75,NA,183.48,22.25,161.43,63.38,19.12,0.01,7.22,NA,NA,NA,NA,NA,NA,9.12,99.02,1.60,120.20,0.00,0.00,4.88,NA,NA
2020-01-01 22:00:00,840.00,NA,98.02,18.48,89.75,61.65,13.75,5.68,3.92,NA,NA,NA,NA,NA,NA,8.80,99.30,1.60,120.20,0.00,0.00,4.80,1000.00,NA
2020-01-01 23:00:00,665.25,547.00,50.60,19.20,51.50,57.32,9.95,4.10,3.38,NA,NA,NA,NA,NA,NA,8.90,98.88,1.52,52.62,0.00,0.00,4.85,999.82,NA
2020-01-02 00:00:00,394.00,510.50,37.83,14.12,38.38,47.48,8.18,3.00,3.05,13.62,54.50,NA,NA,NA,NA,8.00,98.50,1.60,34.70,0.00,0.00,4.85,999.40,NA
2020-01-02 01:00:00,317.75,401.00,36.00,10.15,34.72,48.95,6.75,2.82,1.85,12.62,45.15,NA,NA,NA,NA,7.50,99.28,1.60,34.70,0.00,0.00,4.85,999.20,NA
2020-01-02 02:00:00,325.50,404.75,43.25,8.00,39.50,49.55,7.15,2.60,3.28,11.68,37.92,NA,NA,NA,NA,7.20,99.30,1.60,34.70,0.00,0.00,4.82,998.85,NA
2020-01-02 03:00:00,331.50,412.75,41.72,7.48,38.00,45.92,7.52,2.38,2.85,13.60,37.32,NA,NA,NA,NA,7.05,99.30,1.60,34.70,0.00,0.00,4.80,998.58,NA
2020-01-02 04:00:00,327.50,403.00,39.58,6.35,35.62,47.62,6.75,2.40,2.45,11.95,33.30,NA,NA,NA,NA,6.75,99.30,1.60,34.68,0.00,0.00,4.78,998.35,NA
2020-01-02 05:00:00,341.50,423.00,43.62,6.18,38.85,46.40,6.62,2.45,6.02,14.77,42.20,NA,NA,NA,NA,7.10,99.30,1.60,34.68,0.00,0.00,4.75,998.60,NA
2020-01-02 06:00:00,400.25,503.25,39.42,5.18,34.90,47.02,5.65,2.25,3.15,NA,NA,NA,NA,NA,NA,6.50,99.28,1.60,34.65,0.00,0.00,5.48,999.12,NA
2020-01-02 07:00:00,453.75,553.75,41.35,5.68,36.72,46.02,5.88,2.38,3.42,NA,NA,NA,NA,NA,NA,7.10,99.28,1.60,34.68,0.00,0.00,35.33,999.75,NA
2020-01-02 08:00:00,431.00,543.25,44.28,20.52,47.03,43.95,10.95,3.15,3.10,14.85,36.28,NA,NA,NA,NA,10.52,97.72,1.60,24.30,0.00,0.00,99.45,NA,NA
2020-01-02 09:00:00,445.75,592.75,21.22,25.32,30.75,47.62,15.02,2.42,4.05,13.20,28.95,NA,NA,NA,NA,14.35,70.80,1.10,25.05,0.00,0.00,234.80,NA,NA
2020-01-02 10:00:00,379.00,523.75,12.58,17.68,19.67,43.68,19.05,1.75,7.48,8.60,24.15,NA,NA,NA,NA,17.70,59.52,1.08,58.48,0.00,0.00,326.35,NA,NA
2020-01-02 11:00:00,253.75,407.50,9.80,18.92,18.02,43.65,44.42,1.38,20.75,7.02,33.78,NA,NA,NA,NA,20.38,47.85,0.92,77.65,0.00,0.00,389.80,NA,NA
2020-01-02 12:00:00,193.25,328.25,6.62,10.88,11.20,42.85,42.03,0.70,45.32,4.28,33.33,NA,NA,NA,NA,21.35,40.05,1.00,78.88,0.00,0.00,318.70,999.42,NA
2020-01-02 13:00:00,89.50,184.50,5.43,10.22,9.88,44.50,38.67,0.72,61.12,3.38,25.38,NA,NA,NA,NA,22.17,38.07,0.85,109.12,0.00,0.00,361.80,998.25,NA
2020-01-02 14:00:00,97.00,180.25,4.98,9.82,9.28,49.30,41.42,0.62,71.60,3.05,20.12,NA,NA,NA,NA,22.30,38.78,0.85,76.42,0.00,0.00,284.33,997.55,NA
2020-01-02 15:00:00,86.75,168.00,4.95,12.90,10.92,51.68,49.32,0.57,44.08,2.55,16.27,NA,NA,NA,NA,21.48,41.78,1.00,73.40,0.00,0.00,149.48,997.35,NA
2020-01-02 16:00:00,85.75,165.25,5.45,16.98,13.50,44.60,23.90,1.10,32.55,2.68,25.85,NA,NA,NA,NA,20.28,47.62,1.17,71.58,0.00,0.00,68.18,997.32,NA
2020-01-02 17:00:00,99.75,218.00,24.40,23.20,32.22,45.18,12.82,2.45,7.05,4.85,53.70,NA,NA,NA,NA,16.10,68.47,0.30,60.35,0.00,0.00,11.27,997.28,NA
2020-01-02 18:00:00,125.50,312.25,55.68,23.85,58.10,52.60,9.32,4.62,4.80,8.95,83.50,NA,NA,NA,NA,13.30,84.45,0.30,60.30,0.00,0.00,4.93,997.68,NA
2020-01-02 19:00:00,201.50,453.75,134.78,25.30,123.30,55.28,13.58,6.90,5.25,14.05,97.00,NA,NA,NA,NA,12.95,89.98,0.30,60.30,0.00,0.00,5.00,997.90,NA
2020-01-02 20:00:00,398.25,740.00,143.22,29.18,132.28,66.90,14.02,0.01,7.35,NA,NA,NA,NA,NA,NA,13.38,89.40,0.30,60.30,0.00,0.00,4.92,998.22,NA
2020-01-02 21:00:00,593.75,845.00,128.02,31.45,121.12,72.05,14.28,0.01,4.97,NA,NA,NA,NA,NA,NA,12.90,91.82,0.30,60.22,0.00,0.00,4.78,998.28,NA
2020-01-02 22:00:00,786.00,NA,112.75,24.35,104.88,66.47,14.60,0.01,2.88,NA,NA,NA,NA,NA,NA,13.38,90.50,0.30,60.38,0.00,0.00,4.80,998.18,NA
2020-01-02 23:00:00,814.75,NA,108.25,21.22,99.55,59.90,13.58,8.90,4.15,NA,NA,NA,NA,NA,NA,12.12,94.58,0.30,60.42,0.00,0.00,4.82,997.85,NA
2020-01-03 00:00:00,760.00,873.00,87.28,19.35,81.47,49.18,11.00,6.70,3.70,NA,NA,NA,NA,NA,NA,11.30,97.58,0.30,60.38,0.00,0.00,4.75,997.75,NA
2020-01-03 01:00:00,677.75,840.75,65.18,14.62,60.90,57.10,8.90,4.70,2.20,NA,NA,NA,NA,NA,NA,11.92,95.08,0.30,60.40,0.00,0.00,4.88,997.72,NA
2020-01-03 02:00:00,621.25,713.00,53.55,9.50,48.70,52.80,9.25,3.70,3.50,NA,NA,NA,NA,NA,NA,10.92,96.42,0.30,60.38,0.00,0.00,4.80,997.10,NA
2020-01-03 03:00:00,540.00,616.50,52.45,8.32,47.20,45.90,7.85,3.42,3.58,NA,NA,NA,NA,NA,NA,10.35,98.72,0.30,60.35,0.00,0.00,4.78,996.55,NA
2020-01-03 04:00:00,507.25,592.00,60.47,4.42,51.68,48.62,7.68,3.58,4.78,NA,NA,NA,NA,NA,NA,10.10,99.30,0.30,57.30,0.00,0.00,4.72,996.32,NA
