Month,CO (mg/m³),NO2 (µg/m³),Ozone (µg/m³),PM2.5 (µg/m³),PM10 (µg/m³),SO2 (µg/m³)
1,1.42,52.03,17.02,206.19,311.3,8.62
2,1.11,49.91,33.02,107.09,201.02,11.31
3,0.95,46.55,37.24,80.43,180.36,15.37
4,0.88,47.1,48.52,69.38,196.51,17.63
5,1.11,45.03,62.87,90.28,243.7,19.26
6,0.96,30.45,49.53,56.85,191.87,13.95
7,0.91,26.62,30.25,40.98,91.6,8.49
8,0.89,23.71,21.01,28.38,63.91,10.23
9,0.94,26.63,23.96,42.04,93.36,8.79
10,1.44,47.68,41.79,115.18,225.67,11.74
11,2.19,55.35,45.38,252.88,370.67,13.81
12,1.7,61.68,32.1,176.97,263.26,13.98
