system:index,landsat_image_count,mean_LST_C,mean_NDVI,month,region,year,.geo
0_0_0,5,19.291874098619058,0.2600739724457065,1.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,5,18.20310139058221,0.5265735396409131,1.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,10,24.17275691699239,0.2593076309146269,2.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,10,22.289032223821742,0.5741548464587474,2.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,10,31.192791373562233,0.2902496668489779,3.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,10,28.305437615783784,0.5477223572989585,3.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,10,44.91723769949833,0.2701139169199096,4.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,10,45.37977171543485,0.2880495395450191,4.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,8,47.904789732724545,0.2627862445948235,5.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,8,48.07900832287264,0.27006971441043354,5.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,10,40.5560323520223,0.29663905073352187,6.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,10,39.30585231711385,0.36770280870779715,6.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,10,46.1788793898406,0.3240323856324373,7.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,10,43.240889254504175,0.4520525445339892,7.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,7,39.3490417667756,0.4639158370692503,8.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,7,33.914413159313135,0.6327376345085552,8.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,10,39.033134014296444,0.3767079278687451,9.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,10,36.64417699231583,0.5657936302520906,9.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,10,34.41011403595703,0.2717682893832279,10.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,10,34.51068159437668,0.38115276466361325,10.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,5,21.850277859140398,0.25492719943267556,11.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,5,23.13734732585572,0.3370876599188935,11.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,10,22.1246883748221,0.2358908767236184,12.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,10,22.534770872310784,0.40404011579758214,12.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,9,18.09630991146403,0.25385594538350986,1.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,9,17.37738387492021,0.5364219986067004,1.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
