system:index,mean_LST_Day_C,mean_LST_Night_C,modis_image_count,month,region,year,.geo
0_0_0,19.626820623568044,9.842688941688985,8,1.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,18.954045079365127,7.924584482758646,8,1.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,26.1035970338721,14.150439348910323,8,2.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,24.568094920634948,13.223125714285745,8,2.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,31.270941157347146,17.355039443967307,8,3.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,29.30953904761909,15.257907975460155,8,3.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,38.618101430429164,23.18501606798792,8,4.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,38.61312666666671,20.003339188134294,8,4.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,43.506863892501066,26.094569123314113,6,5.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,44.04095111111113,22.661369426751637,6,5.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,38.0271600408694,27.45078171190292,8,6.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,37.68624222222223,26.022218880534716,8,6.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,35.928593612607536,25.549979052197834,8,7.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,34.41753028571431,24.609679492849803,8,7.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,33.70095288080243,25.610053624320525,8,8.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,31.967812436289535,24.019175718849887,8,8.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,36.32481051458296,26.18543031403626,8,9.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,35.31916666666668,24.26565788690479,8,9.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,33.14385403120941,19.45521079582522,8,10.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,33.03934666666671,15.714004866726588,8,10.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,26.891603381014342,14.736130009107512,6,11.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,27.244133333333355,13.2391585858586,6,11.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,22.09670739674283,10.688873495259427,8,12.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,22.104748888888917,8.634355386416894,8,12.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,20.076245231902927,10.613510849288206,8,1.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,19.216570666666694,10.204938504701275,8,1.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,28.5104508019072,15.019170812603688,8,2.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1,27.01949619047622,11.930576190476224,8,2.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,34.725198309492825,19.883709264896257,8,3.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,33.48763333333336,16.986505291005326,8,3.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,39.729568703944544,23.47364171743546,6,4.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_1,40.12277333333336,20.762475609756123,6,4.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,38.002808842652804,24.79362073623774,8,5.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_1,37.812300000000036,21.905307991513464,8,5.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,36.41508475757015,26.05064482200646,8,6.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_1,36.113640317460344,24.429601232101266,8,6.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,37.712401387082764,26.82255979329151,8,7.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_1,37.05792355555558,25.831862449799225,8,7.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
